,Ticker,Shares
1,AMZN,31493.3227465362
2,CAT,16065.682506239527
3,SHOP.TO,56878.099112154174
4,ACN,15706.8433869109
5,BB.TO,2325101.6546788383
6,BK,65337.45101867491
7,UPS,36547.2028742211
8,TD.TO,82236.0872717915
9,BA,29483.19172306219
10,PFE,162253.28860364007
11,MRK,38857.64997020941
12,ABBV,21018.013989968047
13,PM,25045.43546533697
14,UNH,5004.773886054774
15,BMY,47426.72894705955
16,LMT,4646.740628741229
