,Ticker,Shares
1,AMZN,32207.70901970486
2,AAPL,26820.662355768192
3,CAT,15063.91420424859
4,C,81340.72416877189
5,TXN,26983.527593788844
6,AXP,17364.598942931345
7,USB,93938.89766786853
8,SHOP.TO,43231.835823397676
9,ACN,11928.832146533412
10,RY.TO,32616.137726972964
11,AIG,49832.71045906047
12,BK,44700.58359882682
13,PYPL,38501.229978641946
14,UNP,12573.703727115864
15,UPS,20895.632367682676
16,LLY,3313.3561369843965
